dollarrate_rate,dollarrate_date
605,2022-06-03 21:09:34
600,2022-06-03 21:09:34
605,2022-06-11 21:09:34
615,2022-07-06 21:09:34
620,2022-07-20 21:09:34
643,2022-07-20 21:09:34
645,2022-07-22 21:09:34
650,2022-07-22 21:09:34
670,2022-07-22 21:09:34
670,2022-07-22 21:09:34
700,2022-07-22 21:09:34
700,2022-07-22 21:09:34
625,2022-07-22 21:09:34
655,2022-08-09 21:09:34
685,2022-08-09 21:09:34
700,2022-08-15 21:09:34
700,2022-08-15 21:09:34
700,2022-08-15 21:09:34
700,2022-09-06 21:09:34
700,2022-09-09 21:09:34
715,2022-09-20 21:09:34
725,2022-10-06 21:09:03
